index,current_price,make,model,year,title_status,mileage
350,2800,jaguar,doors,2019,clean vehicle,20849.0
352,8850,ford,door,2015,clean vehicle,143818.0
353,18712,ford,f-150,2017,clean vehicle,67347.0
356,6300,gmc,mpv,2017,clean vehicle,117400.0
357,2220,heartland,country,2010,clean vehicle,1.0
358,6930,jeep,mpv,2019,clean vehicle,47798.0
360,3440,ford,door,2015,clean vehicle,124542.0
361,50412,ford,door,2017,clean vehicle,47129.0
364,9270,gmc,mpv,2017,clean vehicle,19490.0
365,11380,jeep,mpv,2019,clean vehicle,12038.0
366,5350,hyundai,mpv,2019,clean vehicle,43536.0
368,3790,ford,door,2015,clean vehicle,100893.0
369,40514,ford,door,2017,clean vehicle,90304.0
372,9190,gmc,mpv,2017,clean vehicle,31394.0
373,10330,infiniti,mpv,2019,clean vehicle,25933.0
376,3830,ford,door,2015,clean vehicle,50593.0
377,43402,ford,door,2017,clean vehicle,62387.0
379,17200,honda,van,2016,clean vehicle,72527.0
380,54680,harley-davidson,road/street,2016,clean vehicle,9502.0
381,6940,honda,door,2010,clean vehicle,217290.0
382,13080,infiniti,mpv,2019,clean vehicle,17243.0
384,10630,ford,door,2015,clean vehicle,82899.0
385,43009,ford,door,2017,clean vehicle,76418.0
388,4950,honda,mpv,2016,clean vehicle,71404.0
389,3760,hyundai,doors,2019,clean vehicle,30382.0
390,3900,acura,door,2009,clean vehicle,179389.0
392,3830,ford,door,2015,clean vehicle,82534.0
393,53500,ford,door,2017,clean vehicle,55732.0
396,6240,honda,door,2015,clean vehicle,83623.0
397,4150,jeep,door,2014,clean vehicle,108895.0
399,61200,bmw,series,2020,clean vehicle,7509.0
401,13500,bmw,series,2014,clean vehicle,33542.0
402,6490,ford,door,2015,clean vehicle,74754.0
403,51502,ford,door,2017,clean vehicle,27661.0
406,8160,honda,van,2015,clean vehicle,109027.0
407,7770,jeep,door,2014,clean vehicle,72732.0
412,39800,bmw,series,2017,clean vehicle,23177.0
413,9210,ford,door,2015,clean vehicle,26911.0
414,58500,ford,srw,2019,clean vehicle,21527.0
416,3960,honda,door,2015,clean vehicle,95128.0
417,5998,hyundai,doors,2014,clean vehicle,122975.0
418,3700,honda,doors,2014,clean vehicle,162824.0
422,5000,gmc,door,2012,clean vehicle,140339.0
423,15050,infiniti,mpv,2019,clean vehicle,26786.0
424,3960,hyundai,doors,2019,clean vehicle,35623.0
425,36300,lincoln,nautilus,2019,clean vehicle,14541.0
426,55600,lexus,gx,2020,clean vehicle,8186.0
427,2630,nissan,doors,2018,clean vehicle,36739.0
428,5690,nissan,mpv,2017,clean vehicle,42616.0
429,19500,audi,q5,2017,clean vehicle,65833.0
431,20400,cadillac,door,2015,clean vehicle,36122.0
432,4320,chevrolet,door,2011,clean vehicle,88359.0
433,33001,ford,f-150,2017,clean vehicle,35905.0
436,5790,gmc,door,2012,clean vehicle,105020.0
437,14750,infiniti,mpv,2019,clean vehicle,11047.0
438,4010,hyundai,doors,2019,clean vehicle,31233.0
439,40000,mercedes-benz,gle,2019,clean vehicle,19427.0
440,13000,kia,sportage,2017,clean vehicle,71991.0
441,3550,nissan,doors,2018,clean vehicle,29043.0
442,3040,nissan,doors,2017,clean vehicle,36064.0
444,36400,audi,5,2015,clean vehicle,47213.0
445,4480,ford,door,2011,clean vehicle,116480.0
446,31003,ford,door,2017,clean vehicle,72084.0
448,8850,gmc,door,2011,clean vehicle,148035.0
449,14750,infiniti,mpv,2019,clean vehicle,11396.0
450,4690,hyundai,mpv,2019,clean vehicle,33785.0
451,23000,land,sport,2018,clean vehicle,20103.0
452,46900,land,discovery,2018,clean vehicle,32387.0
453,10740,mercedes-benz,doors,2018,clean vehicle,48140.0
454,3160,nissan,doors,2017,clean vehicle,34861.0
456,3450,chrysler,door,2011,clean vehicle,114119.0
457,27102,ford,f-150,2017,clean vehicle,34165.0
459,5100,gmc,door,2011,clean vehicle,144792.0
460,15010,infiniti,mpv,2019,clean vehicle,11394.0
461,5800,jeep,mpv,2019,clean vehicle,30546.0
462,23200,land,sport,2018,clean vehicle,23745.0
463,8000,hyundai,door,2015,clean vehicle,88274.0
464,3390,nissan,doors,2018,clean vehicle,38349.0
465,3140,nissan,doors,2017,clean vehicle,30142.0
